destination,Himmelsrichtung,Richtung
Muenchen_Hbf,west,einwaerts
Muenchen_Hbf,ost,auswaerts
Muenchen_Hbf_Gl.27_36,west,einwaerts
Muenchen_Hbf_Gl.27_36,ost,auswaerts
Berg_am_Laim,west,einwaerts
Berg_am_Laim,ost,auswaerts
Deisenhofen,west,einwaerts
Deisenhofen,ost,auswaerts
Muenchen_Leuchtenbergring,west,einwaerts
Muenchen_Leuchtenbergring,ost,auswaerts
Trudering,west,einwaerts
Trudering,ost,auswaerts
Zorneding,west,einwaerts
Zorneding,ost,auswaerts
Grafing_Bahnhof,west,einwaerts
Grafing_Bahnhof,ost,auswaerts
Ebersberg,west,einwaerts
Ebersberg,ost,auswaerts
Ostbahnhof,west,einwaerts
Ostbahnhof,ost,auswaerts
Aying,west,einwaerts
Aying,ost,auswaerts
Höhenkirchen_Siegertsbrunn,west,einwaerts
Höhenkirchen_Siegertsbrunn,ost,auswaerts
Kreuzstraße,west,einwaerts
Kreuzstraße,ost,auswaerts
Erding,west,einwaerts
Erding,ost,auswaerts
Holzkirchen,west,einwaerts
Holzkirchen,ost,auswaerts
Flughafen_Muenchen,west,einwaerts
Flughafen_Muenchen,ost,auswaerts
Markt_Schwaben,west,einwaerts
Markt_Schwaben,ost,auswaerts
Johanneskirchen,west,einwaerts
Johanneskirchen,ost,auswaerts
Riem,west,einwaerts
Riem,ost,auswaerts
Fuerstenfeldbruck,west,auswaerts
Fuerstenfeldbruck,ost,einwaerts
Puchheim,west,auswaerts
Puchheim,ost,einwaerts
Icking,west,auswaerts
Icking,ost,einwaerts
Ebenhausen_Schaeftlarn,west,auswaerts
Ebenhausen_Schaeftlarn,ost,einwaerts
Gauting,west,auswaerts
Gauting,ost,einwaerts
Starnberg,west,auswaerts
Starnberg,ost,einwaerts
Dachau_Bahnhof,west,auswaerts
Dachau_Bahnhof,ost,einwaerts
Germering_Unterpfaffenhofen,west,auswaerts
Germering_Unterpfaffenhofen,ost,einwaerts
Weßling,west,auswaerts
Weßling,ost,einwaerts
Maisach,west,auswaerts
Maisach,ost,einwaerts
Altomuenster,west,auswaerts
Altomuenster,ost,einwaerts
Pasing,west,auswaerts
Pasing,ost,einwaerts
Mammendorf,west,auswaerts
Mammendorf,ost,einwaerts
Geltendorf,west,auswaerts
Geltendorf,ost,einwaerts
Buchenau,west,auswaerts
Buchenau,ost,einwaerts
Grafrath,west,auswaerts
Grafrath,ost,einwaerts
Höllriegelskreuth,west,auswaerts
Höllriegelskreuth,ost,einwaerts
Wolfratshausen,west,auswaerts
Wolfratshausen,ost,einwaerts
Petershausen,west,auswaerts
Petershausen,ost,einwaerts
Herrsching,west,auswaerts
Herrsching,ost,einwaerts
Tutzing,west,auswaerts
Tutzing,ost,einwaerts
Freising,west,auswaerts
Freising,ost,einwaerts
Gilching_Argelsried,west,auswaerts
Gilching_Argelsried,ost,einwaerts
Feldkirchen(b_Muenchen),west,einwaerts
Feldkirchen(b_Muenchen),ost,auswaerts
Perlach,west,einwaerts
Perlach,ost,auswaerts
Hackerbruecke,west,einwaerts
Hackerbruecke,ost,einwaerts
Haar,west,einwaerts
Haar,ost,auswaerts
Leuchtenbergring,west,einwaerts
Leuchtenbergring,ost,auswaerts
Donnersbergerbruecke,west,einwaerts
Ismaning,west,einwaerts
Ismaning,ost,auswaerts
Lochhausen,west,einwaerts
Lochhausen,ost,auswaerts
Feldmoching,west,auswaerts
Feldmoching,ost,einwaerts
Muenchen_Hackerbruecke,west,einwaerts
Muenchen_Flughafen,west,einwaerts
Muenchen_Flughafen,ost ,auswaerts
Olching,west,auswaerts
Olching,ost,einwaerts
Giesing,west,einwaerts
Giesing,ost,auswaerts
